eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010081
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010082
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010083
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010084
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010085
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010086
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010087
eve:eve5,CounterfeitInPacking,epc:030001.0054321.100000010088
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010093
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010094
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010095
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010096
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010097
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010098
eve:eve4,LostAfterCommissioning,epc:030001.0012345.100000010099
eve:eve4,LostAfterCommissioning,epc:030001.0012345.1000000100100
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100181
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100182
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100183
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100184
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100185
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100186
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100187
eve:eve11,CounterfeitInPacking,epc:030001.0054321.1000000100188
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100193
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100194
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100195
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100196
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100197
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100198
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100199
eve:eve10,LostAfterCommissioning,epc:030001.0012345.1000000100200
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100281
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100282
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100283
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100284
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100285
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100286
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100287
eve:eve17,CounterfeitInPacking,epc:030001.0054321.1000000100288
eve:eve16,LostAfterCommissioning,epc:030001.0012345.1000000100293
